organization_1,American Foundation for Suicide Prevention,ff.im,Mo_ta_thuc_the_organization,2017-09-04,9337 North Riverview Street ,(617) 364-6813
organization_2,World Health Organization (WHO),shw.me,Mo_ta_thuc_the_organization,2011-05-28,9562 Meadowbrook Ave ,(846) 455-6597
organization_3,Free Software Foundation,Just.as,Mo_ta_thuc_the_organization,2015-11-19,Florence SC 29501,(374) 701-3386
organization_4,Teach For America,GoWat.ch,Mo_ta_thuc_the_organization,2016-03-26,Mcdonough GA 30252,(735) 487-3139
organization_5,The Museum of Modern Art,4url.cc,Mo_ta_thuc_the_organization,2012-11-01,Glen Ellyn IL 60137,(448) 259-2380
organization_6,American Foundation for Suicide Prevention,4url.cc,Mo_ta_thuc_the_organization,2014-03-06,Forney TX 75126,(883) 255-9944
organization_7,Saint Louis Zoo Association,https://education.github.com,Mo_ta_thuc_the_organization,2014-04-23,Flemington NJ 08822,(407) 906-9538
organization_8,DAV (Disabled American Veterans) Charitable Service Trust,fwd4.me,Mo_ta_thuc_the_organization,2015-05-23,Severn MD 21144,(464) 576-0733
organization_9,The Climate Reality Project,ln-s.net,Mo_ta_thuc_the_organization,2014-05-05,Forney TX 75126,(276) 711-7400
organization_10,International Telecommunication Union (ITU),https://zh-cn.facebook.com/,Mo_ta_thuc_the_organization,2016-02-19,Xenia OH 45385,(988) 581-8316
organization_11,Economic Policy Institute,ur1.ca,Mo_ta_thuc_the_organization,2012-11-18,Williamsport PA 17701,(457) 567-9208
organization_12,Rainforest Action Network,https://opensource.guide,Mo_ta_thuc_the_organization,2016-02-19,Lake Charles LA 70605,(297) 212-6681
organization_13,Cincinnati Zoo & Botanical Garden,https://www.linkedin.com/company/github,Mo_ta_thuc_the_organization,2012-04-17,7091 Pulaski St ,(617) 364-6813
organization_14,International Telecommunication Union (ITU),shw.me,Mo_ta_thuc_the_organization,2018-11-30,9444 Dunbar St ,(853) 272-6757
organization_15,Natural Resources Defense Council,https://desktop.github.com/,Mo_ta_thuc_the_organization,2011-03-06,632 Court Circle ,(988) 581-8316
organization_16,International Rescue Committee,urlot.com,Mo_ta_thuc_the_organization,2012-06-29,Morganton NC 28655,(745) 607-1472
organization_17,International Rescue Committee,C-O.IN,Mo_ta_thuc_the_organization,2015-12-21,Dacula GA 30019,(310) 296-9765
organization_18,Center for Reproductive Rights,u.mavrev.com,Mo_ta_thuc_the_organization,2018-10-25,Parkville MD 21234,(331) 670-2355
organization_19,United Nations Industrial Development Organization (UNIDO),eepurl.com,Mo_ta_thuc_the_organization,2012-12-09,7613 S Pawnee St ,(847) 636-5090
organization_20,The Atlantic Council of the United States,Hurl.it,Mo_ta_thuc_the_organization,2011-11-12,106 Selby Ave ,(374) 701-3386
organization_21,American Humanist Association,ln-s.net,Mo_ta_thuc_the_organization,2016-04-06,Flemington NJ 08822,(505) 687-2998
organization_22,Natural Resources Defense Council,href.in,Mo_ta_thuc_the_organization,2017-10-03,Macungie PA 18062,(331) 217-9487
organization_23,United Nations Economic Commission for Latin America and the Caribbean (UNECLAC),hugeurl.com,Mo_ta_thuc_the_organization,2015-12-21,Statesville NC 28625,(767) 912-2201
organization_24,FAIR Federation for American Immigration Reform,short.ie,Mo_ta_thuc_the_organization,2014-10-14,16 Cross Dr ,(366) 235-3681
organization_25,American Red Cross,sn.im,Mo_ta_thuc_the_organization,2016-04-19,Springfield Gardens NY 11413,(709) 832-6892
organization_26,CARE,twirl.at,Mo_ta_thuc_the_organization,2012-03-26,7299 Monroe St ,(735) 487-3139
organization_27,FAIR Federation for American Immigration Reform,PiURL.com,Mo_ta_thuc_the_organization,2018-08-30,Glendale Heights IL 60139,(704) 580-0988
organization_28,Museum of Fine Arts Boston,https://www.facebook.com/GitHub,Mo_ta_thuc_the_organization,2016-08-07,Brighton MA 02135,(405) 439-6374
organization_29,American Foundation for Suicide Prevention,ri.ms,Mo_ta_thuc_the_organization,2012-12-19,Saginaw MI 48601,(990) 451-6468
organization_30,World Tourism Organization (UNWTO),sharetabs.com,Mo_ta_thuc_the_organization,2011-10-23,8952 Maple Dr ,(317) 491-6270
organization_31,United Nations Industrial Development Organization (UNIDO),riz.gd,Mo_ta_thuc_the_organization,2017-02-26,9106 Shore Ave ,(240) 579-3923
organization_32,Rainforest Action Network,lt.tl,Mo_ta_thuc_the_organization,2018-11-18,Morganton NC 28655,(382) 820-3617
organization_33,Academy of American Poets,snipr.com,Mo_ta_thuc_the_organization,2017-02-15,Xenia OH 45385,(480) 358-2463
organization_34,Conservation Internationa,snipurl.com,Mo_ta_thuc_the_organization,2017-05-29,Worcester MA 01604,(293) 467-3243
organization_35,Doctors Without Borders USA,virl.com,Mo_ta_thuc_the_organization,2012-12-21,9444 Dunbar St ,(393) 742-6494
organization_36,Ocean Conservancy,rsmonkey.com,Mo_ta_thuc_the_organization,2011-01-26,Fairhope AL 36532,(329) 541-6442
organization_37,Ocean Conservancy,http://www.w3.org/Consortium/activities,Mo_ta_thuc_the_organization,2013-10-26,Dacula GA 30019,(208) 331-9447
organization_38,United Nations Statistics Division (UNSD),http://bigbluehat.com/,Mo_ta_thuc_the_organization,2013-07-10,Pearl MS 39208,(229) 712-1103
organization_39,International Labour Organization (ILO),post.ly,Mo_ta_thuc_the_organization,2015-02-17,Deltona FL 32725,(745) 393-2625
organization_40,The John F Kennedy Center for the Performing Arts,URL.ie,Mo_ta_thuc_the_organization,2012-04-17,77 East Race Ave ,(490) 853-0884
organization_41,Economic Policy Institute,atu.ca,Mo_ta_thuc_the_organization,2012-12-23,5 Fawn Court ,(359) 321-5236
organization_42,Human Rights Watch,DwarfURL.com,Mo_ta_thuc_the_organization,2011-02-06,48 Fulton Road ,(908) 871-2883
organization_43,The Public Theater/New York Shakespeare Festival,IsCool.net,Mo_ta_thuc_the_organization,2016-06-19,Oceanside NY 11572,(428) 993-5708
organization_44,Partners In Health,lurl.no,Mo_ta_thuc_the_organization,2012-04-12,562 Airport Circle ,(983) 495-2880
organization_45,American Museum of Natural History,decenturl.com,Mo_ta_thuc_the_organization,2015-01-20,9444 Dunbar St ,(565) 466-4210
organization_46,Food and Agriculture Organization of the United Nations (FAO),twiturl.de,Mo_ta_thuc_the_organization,2016-08-13,643 Woodland Ave ,(846) 455-6597
organization_47,charity: water,xaddr.com,Mo_ta_thuc_the_organization,2014-03-09,53 West Princeton St ,(505) 687-2998
organization_48,National Women's Law Center,lnk.in,Mo_ta_thuc_the_organization,2011-04-01,Glen Allen VA 23059,(925) 980-3793
organization_49,The Trevor Project,lt.tl,Mo_ta_thuc_the_organization,2017-11-24,Mechanicsville VA 23111,(482) 613-8761
organization_50,Committee to Protect Journalists,sn.im,Mo_ta_thuc_the_organization,2015-03-01,Woodbridge VA 22191,(709) 232-1815
organization_51,DAV (Disabled American Veterans) Charitable Service Trust,snurl.com,Mo_ta_thuc_the_organization,2016-12-28,948 Squaw Creek Court ,(271) 810-4573
organization_52,Sundance Institute,liltext.com,Mo_ta_thuc_the_organization,2014-05-18,Pittsford NY 14534,(416) 548-1318
organization_53,Center for Biological Diversity,http://www.w3.org/2000/svg,Mo_ta_thuc_the_organization,2017-11-02,Klamath Falls OR 97603,(329) 541-6442
organization_54,Philadelphia Museum of Art,shortna.me,Mo_ta_thuc_the_organization,2015-12-21,Worcester MA 01604,(895) 454-3909
organization_55,World Resources Institute,https://blog.github.com,Mo_ta_thuc_the_organization,2013-05-30,4 Arnold Street ,(500) 271-6087
organization_56,Wildlife Conservation Society,Hurl.it,Mo_ta_thuc_the_organization,2015-12-02,Pompano Beach FL 33060,(560) 806-9076
organization_57,The Aspen Institute,2ya.com,Mo_ta_thuc_the_organization,2015-04-02,Johnson City TN 37601,(276) 711-7400
organization_58,Alley Cat Allies,ping.fm,Mo_ta_thuc_the_organization,2013-02-20,48 Fulton Road ,(477) 285-4508
organization_59,Do Something,krunchd.com,Mo_ta_thuc_the_organization,2013-07-10,Pittsford NY 14534,(656) 366-5671
organization_60,Economic Policy Institute,gri.ms,Mo_ta_thuc_the_organization,2013-08-31,7402 East Fairground Street ,(815) 570-8087
organization_61,United Nations Economic and Social Commission for Western Asia (UNESCWA),URL.ie,Mo_ta_thuc_the_organization,2018-05-04,Cary NC 27511,(519) 221-1993
organization_62,Planned Parenthood Federation of America,short.to,Mo_ta_thuc_the_organization,2014-02-09,Villa Park IL 60181,(656) 366-5671
organization_63,National Audubon Society,om.ly,Mo_ta_thuc_the_organization,2017-04-05,8377 Garfield Drive ,(777) 293-0559
organization_64,Rainforest Action Network,ne1.net,Mo_ta_thuc_the_organization,2015-05-23,Richardson TX 75080,(416) 548-1318
organization_65,Friends of the Earth,lurl.no,Mo_ta_thuc_the_organization,2017-10-21,Winchester VA 22601,(777) 293-0559
organization_66,Center for Reproductive Rights,ow.ly,Mo_ta_thuc_the_organization,2016-02-19,9784 West Adams Street ,(202) 701-1930
organization_67,Rainforest Action Network,WapURL.co.uk,Mo_ta_thuc_the_organization,2013-08-31,Dothan AL 36301,(589) 728-8748
organization_68,Conservation Internationa,http://lists.w3.org/Archives/Public/site-comments/,Mo_ta_thuc_the_organization,2016-05-16,Goodlettsville TN 37072,(617) 658-2088
organization_69,World Resources Institute,om.ly,Mo_ta_thuc_the_organization,2014-03-09,Woodbridge VA 22191,(735) 487-3139
organization_70,Southern Poverty Law Center,SimURL.com,Mo_ta_thuc_the_organization,2012-07-17,Port Saint Lucie FL 34952,(405) 439-6374
organization_71,Brennan Center for Justice at NYU School of Law,om.ly,Mo_ta_thuc_the_organization,2014-10-03,Shakopee MN 55379,(536) 304-9022
organization_72,Food and Agriculture Organization of the United Nations (FAO),PiURL.com,Mo_ta_thuc_the_organization,2012-04-23,7299 Monroe St ,(560) 806-9076
organization_73,Saint Louis Zoo Association,gurl.es,Mo_ta_thuc_the_organization,2012-02-19,Camden NJ 08105,(315) 512-8665
organization_74,Do Something,url.co.uk,Mo_ta_thuc_the_organization,2012-12-19,157 San Juan Lane ,(642) 886-8913
organization_75,The Rotary Foundation of Rotary International,IsCool.net,Mo_ta_thuc_the_organization,2017-09-06,367 N Hall Ave ,(427) 913-4851
organization_76,Museum of Fine Arts Boston,https://avatars0.githubusercontent.com,Mo_ta_thuc_the_organization,2015-08-14,415 SW Glen Eagles Dr ,(359) 321-5236
organization_77,NAMI,shortna.me,Mo_ta_thuc_the_organization,2018-05-15,Atlantic City NJ 08401,(444) 958-2475
organization_78,The Center for Strategic and International Studies,XeeURL.com,Mo_ta_thuc_the_organization,2018-10-25,Campbell CA 95008,(294) 877-4252
organization_79,CARE,gurl.es,Mo_ta_thuc_the_organization,2012-10-08,Stoughton MA 02072,(482) 613-8761
organization_80,Saint Louis Zoo Association,https://www.facebook.com/GitHub,Mo_ta_thuc_the_organization,2014-02-13,7 South Jockey Hollow Drive ,(270) 299-5504
organization_81,Doctors Without Borders USA,https://status.github.com/,Mo_ta_thuc_the_organization,2016-07-31,Derry NH 03038,(477) 285-4508
organization_82,Committee to Protect Journalists,tr.im,Mo_ta_thuc_the_organization,2011-02-06,Derry NH 03038,(550) 739-5200
organization_83,United Nations Economic Commission for Africa (UNECA),4url.cc,Mo_ta_thuc_the_organization,2012-06-20,77 East Race Ave ,(276) 711-7400
