location_1,Feed the Children Foundation,fff.to,Mo_ta_thuc_the_location,2016-04-19
location_2,Cartman's Church (Probably),rubyurl.com,Mo_ta_thuc_the_location,2015-02-04
location_3,Ft. Sumter Memorial,1url.com,Mo_ta_thuc_the_location,2011-07-27
location_4,Tamil Nadu,Just.as,Mo_ta_thuc_the_location,2011-07-20
location_5,St. Peter's Church,iterasi.net,Mo_ta_thuc_the_location,2018-02-11
location_6,Macquarie Island,MyURL.in,Mo_ta_thuc_the_location,2012-06-17
location_7,Cheyenne Mountain,minilien.com,Mo_ta_thuc_the_location,2015-10-22
location_8,Ha Noi	,2ya.com,Mo_ta_thuc_the_location,2018-08-30
location_9,Sossusvlei,buk.me,Mo_ta_thuc_the_location,2016-08-13
location_10,Feed the Children Foundation,urlpire.com,Mo_ta_thuc_the_location,2011-10-15
location_11,Feed the Children Foundation,Quip-Art.com,Mo_ta_thuc_the_location,2011-05-16
location_12,Lisbon,twurl.nl,Mo_ta_thuc_the_location,2016-05-10
location_13,F.E. Warren Missile Base,https://services.github.com/,Mo_ta_thuc_the_location,2018-05-04
location_14,Toilet Safety Administration (TSA),DwarfURL.com,Mo_ta_thuc_the_location,2012-12-21
location_15,Denver Archdiocese,url.co.uk,Mo_ta_thuc_the_location,2015-10-22
location_16,Motuo,eepurl.com,Mo_ta_thuc_the_location,2012-12-19
location_17,F.E. Warren Missile Base,to.ly,Mo_ta_thuc_the_location,2015-06-05
location_18,Zhangye Danxia Geopark,xr.com,Mo_ta_thuc_the_location,2016-08-13
location_19,Denver City Hall,https://status.github.com/,Mo_ta_thuc_the_location,2011-01-19
location_20,St. Peter's Church,http://www.ercim.eu/,Mo_ta_thuc_the_location,2014-12-24
location_21,Alamosa Maximum Security Juvenile Hall,ow.ly,Mo_ta_thuc_the_location,2011-07-10
location_22,Alamosa Maximum Security Juvenile Hall,cli.gs,Mo_ta_thuc_the_location,2016-04-06
location_23,Zhangye Danxia Geopark,goshrink.com,Mo_ta_thuc_the_location,2018-05-04
location_24,Park County Courthouse,om.ly,Mo_ta_thuc_the_location,2015-12-05
location_25,Venice,tiny123.com,Mo_ta_thuc_the_location,2017-08-16
location_26,Amalfi Coast,poprl.com,Mo_ta_thuc_the_location,2011-02-06
location_27,Svalbard,rickroll.it,Mo_ta_thuc_the_location,2015-01-20
location_28,Bunny Slope,vl.am,Mo_ta_thuc_the_location,2016-02-28
location_29,World Canadian Bureau (WGA)(Canada On Strike),TraceURL.com,Mo_ta_thuc_the_location,2018-10-13
location_30,American Dental Association (ADA),lnk.in,Mo_ta_thuc_the_location,2013-10-26
location_31,Frisco Woods,twurl.nl,Mo_ta_thuc_the_location,2015-05-23
location_32,Pu Mat,IsCool.net,Mo_ta_thuc_the_location,2016-04-19
location_33,Bunny Slope,xr.com,Mo_ta_thuc_the_location,2017-09-01
location_34,United States Post Office,xaddr.com,Mo_ta_thuc_the_location,2014-05-18
location_35,Sheikh Zayed Grand Mosque,urlot.com,Mo_ta_thuc_the_location,2016-02-19
location_36,South Park Train Station,sharetabs.com,Mo_ta_thuc_the_location,2017-08-10
location_37,Denver Recreation Center,https://www.facebook.com/help/568137493302217,Mo_ta_thuc_the_location,2012-03-17
