event_1187,ton_vinh,organization_1580,2014-11
location_417,tung_la_noi_dat_tru_so_cua,organization_1629,2017-08
organization_1652,duoi_viec,person_1470,2014-12
location_660,la_nha_cua,person_1887,2010-07
location_1013,la_que_huong_cua,person_1860,2018-05
event_200,ton_vinh,person_1300,2011-03
event_1731,duoc_to_chuc_boi,person_921,2014-06
person_1723,tham_gia,event_1154,2017-08
location_1065,se_to_chuc,event_1720,2011-07
location_650,dang_dien_ra,event_665,2010-11
location_949,dang_dien_ra,event_978,2017-08
person_591,to_chuc,event_1956,2015-05
organization_809,to_chuc,event_786,2011-09
location_942,dang_dien_ra,event_1971,2013-06
organization_449,to_chuc,event_211,2010-11
event_1826,duoc_to_chuc_boi,organization_224,2010-12
organization_151,duoc_xay_dung_tai,location_966,2010-11
organization_1579,duoc_xay_dung_tai,location_1086,2010-07
event_521,khai_mac_tai,location_1054,2011-04
location_1689,se_to_chuc,event_706,2011-01
person_1537,to_chuc,event_288,2014-08
person_68,tai_tro_cho,event_694,2018-03
location_375,se_to_chuc,event_1214,2015-05
organization_394,to_chuc,event_732,2013-03
event_15,duoc_to_chuc_o,location_239,2018-11
organization_93,duoc_xay_dung_tai,location_1630,2012-06
event_1348,khai_mac_tai,location_21,2013-07
person_822,lon_len_tai,location_1313,2014-07
organization_456,to_chuc_chuong_trinh_tai,location_75,2018-09
organization_261,co_chi_nhanh_tai,location_1433,2015-03
event_386,be_mac_tai,location_7,2017-06
organization_1490,duoc_xay_dung_tai,location_1972,2015-02
event_1253,be_mac_tai,location_677,2012-03
location_575,se_to_chuc,event_1895,2014-08
person_1789,duoc_ton_vinh_tai,event_700,2012-04
event_1902,duoc_to_chuc_boi,person_792,2011-09
location_931,la_nha_cua,person_173,2011-07
organization_1762,phat_luong_cho,person_327,2015-02
organization_7,duoi_viec,person_799,2013-03
event_371,duoc_tai_tro_boi,person_518,2017-06
person_1293,la_leader_cua,organization_1383,2013-03
person_1422,la_leader_cua,organization_778,2012-08
organization_1353,tai_tro_cho,event_1082,2011-03
event_713,duoc_to_chuc_o,location_1390,2013-06
person_743,sinh_tai,location_1368,2012-06
location_1600,la_que_huong_cua,person_1220,2012-02
event_1297,duoc_tai_tro_boi,person_284,2018-11
organization_2012,duoc_thanh_lap_boi,person_1361,2015-09
event_1763,duoc_tai_tro_boi,person_1337,2011-10
event_1678,duoc_tai_tro_boi,person_621,2017-08
event_948,duoc_tai_tro_boi,person_916,2018-09
event_1280,duoc_to_chuc_boi,person_1955,2018-06
person_1227,di_du_lich_tai,location_1849,2013-03
organization_1152,to_chuc_chuong_trinh_tai,location_936,2015-02
event_1389,be_mac_tai,location_1187,2012-06
location_679,la_noi_duoc_xay_dung_boi,organization_39,2015-05
person_284,thanh_lap,organization_208,2013-09
